product_name                         , category, brand   , model_name        , variant  , cost_price, competitor_price, stock, demand_score, current_price
Xiaomi Poco X5 Pro 5G (8GB/256GB)    , Mobile  , Xiaomi  , Poco X5 Pro 5G    , 8GB/256GB,       8793,          10551.6,    69,           20,          9674
Xiaomi Poco M6 Pro 5G (8GB/128GB)    , Mobile  , Xiaomi  , Poco M6 Pro 5G    , 8GB/128GB,      22153,          10299.0,   134,           72,         24696
OnePlus Nord CE 3 Lite 5G (8GB/128GB), Mobile  , OnePlus , Nord CE 3 Lite 5G , 8GB/128GB,      15814,          18976.8,   218,           13,         17491
OnePlus Nord 3 5G (8GB/256GB)        , Mobile  , OnePlus , Nord 3 5G         , 8GB/256GB,      42581,          51097.2,   111,           60,         45822
OnePlus Ace 2V (8GB/128GB)           , Mobile  , OnePlus , Ace 2V            , 8GB/128GB,      34915,          41898.0,   133,           37,         37580
Realme Realme 11 Pro 5G (8GB/256GB)  , Mobile  , Realme  , Realme 11 Pro 5G  , 8GB/256GB,       9126,          10951.2,    92,           31,          9896
Realme Realme Narzo 60 5G (6GB/128GB), Mobile  , Realme  , Realme Narzo 60 5G, 6GB/128GB,      29530,          35436.0,   296,           41,         34781
Vivo Vivo Y16 (6GB/128GB)            , Mobile  , Vivo    , Vivo Y16          , 6GB/128GB,      22718,          27261.6,   101,           21,         24527
Vivo Vivo V29 5G (6GB/128GB)         , Mobile  , Vivo    , Vivo V29 5G       , 6GB/128GB,      10645,          12774.0,     1,           63,         11601
Vivo Vivo T2 5G (6GB/128GB)          , Mobile  , Vivo    , Vivo T2 5G        , 6GB/128GB,      11708,          14049.6,   137,           74,         13121
Oppo Oppo A78 5G (8GB/256GB)         , Mobile  , Oppo    , Oppo A78 5G       , 8GB/256GB,      48224,          57868.8,   291,           63,         51153
Oppo Oppo Reno 10 5G (8GB/256GB)     , Mobile  , Oppo    , Oppo Reno 10 5G   , 8GB/256GB,      43393,          52071.6,   210,           91,         52383
Apple iPhone 13 (6GB/128GB)          , Mobile  , Apple   , iPhone 13         , 6GB/128GB,      71368,          85641.6,   251,           51,         82353
Apple iPhone 14 (6GB/128GB)          , Mobile  , Apple   , iPhone 14         , 6GB/128GB,      80719,          96862.8,   180,           70,         93022
Apple iPhone SE 3rd Gen (4GB/64GB)   , Mobile  , Apple   , iPhone SE 3rd Gen , 4GB/64GB ,      57359,          68830.8,   285,           63,         63659
Motorola Moto G54 5G (8GB/128GB)     , Mobile  , Motorola, Moto G54 5G       , 8GB/128GB,      13757,          16508.4,    49,           71,         15066
Motorola Moto Edge 40 (4GB/64GB)     , Mobile  , Motorola, Moto Edge 40      , 4GB/64GB ,      22395,           6749.0,   148,           86,         25383
Google Pixel 7a (8GB/256GB)          , Mobile  , Google  , Pixel 7a          , 8GB/256GB,      46566,          26890.0,    49,           71,         56787
Google Pixel 6a (4GB/64GB)           , Mobile  , Google  , Pixel 6a          , 4GB/64GB ,      26759,          23999.0,   215,           51,         28651
Infinix Infinix Hot 30 5G (8GB/128GB), Mobile  , Infinix , Infinix Hot 30 5G , 8GB/128GB,       7951,           9541.2,    32,           30,          9570
Infinix Infinix Zero 5G (4GB/64GB)   , Mobile  , Infinix , Infinix Zero 5G   , 4GB/64GB ,      18568,          22281.6,   286,           16,         19790
Tecno Tecno Camon 20 (8GB/256GB)     , Mobile  , Tecno   , Tecno Camon 20    , 8GB/256GB,      14186,          17023.2,    78,           47,         15186
Tecno Tecno Pova 5 (6GB/128GB)       , Mobile  , Tecno   , Tecno Pova 5      , 6GB/128GB,      19481,          23377.2,   113,           94,         22315
Lava Lava Agni 2 5G (6GB/128GB)      , Mobile  , Lava    , Lava Agni 2 5G    , 6GB/128GB,      18342,          22010.4,   288,           10,         22219
Lava Lava Blaze 5G (6GB/128GB)       , Mobile  , Lava    , Lava Blaze 5G     , 6GB/128GB,      16093,          19311.6,    87,           55,         18414
iQOO iQOO Neo 7 5G (8GB/256GB)       , Mobile  , iQOO    , iQOO Neo 7 5G     , 8GB/256GB,      34846,          41815.2,   247,           67,         40610
iQOO iQOO Z7 Pro 5G (8GB/256GB)      , Mobile  , iQOO    , iQOO Z7 Pro 5G    , 8GB/256GB,      25682,          30818.4,    54,           67,         29300
Nokia Nokia G42 5G (8GB/128GB)       , Mobile  , Nokia   , Nokia G42 5G      , 8GB/128GB,      15776,          18931.2,   264,           34,         18127
Samsung Galaxy A14 5G (8GB/128GB)    , Mobile  , Samsung , Galaxy A14 5G     , 8GB/128GB,      44911,          53893.2,   288,           46,         54710
Samsung Galaxy M34 5G (8GB/128GB)    , Mobile  , Samsung , Galaxy M34 5G     , 8GB/128GB,      22175,          26610.0,   165,           54,         24914
Samsung Galaxy S21 FE 5G (4GB/64GB)  , Mobile  , Samsung , Galaxy S21 FE 5G  , 4GB/64GB ,      31389,          37666.8,     7,           74,         34744
Samsung Galaxy A54 5G (8GB/128GB)    , Mobile  , Samsung , Galaxy A54 5G     , 8GB/128GB,      26032,          31238.4,   147,           19,         28459
Xiaomi Redmi Note 12 5G (8GB/256GB)  , Mobile  , Xiaomi  , Redmi Note 12 5G  , 8GB/256GB,      25692,          30830.4,     2,            1,         28965
Xiaomi Redmi 12C (8GB/128GB)         , Mobile  , Xiaomi  , Redmi 12C         , 8GB/128GB,      27978,          33573.6,   195,           87,         30817
Xiaomi Poco X5 Pro 5G (8GB/128GB)    , Mobile  , Xiaomi  , Poco X5 Pro 5G    , 8GB/128GB,      28875,          34650.0,   293,           38,         34445
Xiaomi Poco M6 Pro 5G (8GB/256GB)    , Mobile  , Xiaomi  , Poco M6 Pro 5G    , 8GB/256GB,      21192,          25430.4,   280,           81,         23942
OnePlus Nord CE 3 Lite 5G (6GB/128GB), Mobile  , OnePlus , Nord CE 3 Lite 5G , 6GB/128GB,      30517,          36620.4,   215,           96,         34728
OnePlus Nord 3 5G (4GB/64GB)         , Mobile  , OnePlus , Nord 3 5G         , 4GB/64GB ,      43529,          52234.8,    14,            9,         46297
OnePlus Ace 2V (8GB/256GB)           , Mobile  , OnePlus , Ace 2V            , 8GB/256GB,      19033,          22839.6,   201,           22,         22104
Realme Realme 11 Pro 5G (8GB/128GB)  , Mobile  , Realme  , Realme 11 Pro 5G  , 8GB/128GB,      27925,          33510.0,    29,           98,         33998
Realme Realme Narzo 60 5G (8GB/128GB), Mobile  , Realme  , Realme Narzo 60 5G, 8GB/128GB,      17996,          21595.2,   146,           85,         19128
Vivo Vivo Y16 (6GB/128GB)            , Mobile  , Vivo    , Vivo Y16          , 6GB/128GB,      40653,          14499.0,   165,           25,         43529
Vivo Vivo V29 5G (6GB/128GB)         , Mobile  , Vivo    , Vivo V29 5G       , 6GB/128GB,      21875,          14499.0,    27,           57,         23909
Vivo Vivo T2 5G (8GB/128GB)          , Mobile  , Vivo    , Vivo T2 5G        , 8GB/128GB,      26029,          31234.8,    98,           12,         30640
Oppo Oppo A78 5G (4GB/64GB)          , Mobile  , Oppo    , Oppo A78 5G       , 4GB/64GB ,      17646,          11499.0,   190,           46,         20323
Oppo Oppo Reno 10 5G (8GB/256GB)     , Mobile  , Oppo    , Oppo Reno 10 5G   , 8GB/256GB,      29609,          35530.8,   193,           51,         32173
Apple iPhone 13 (4GB/64GB)           , Mobile  , Apple   , iPhone 13         , 4GB/64GB ,      46555,          55866.0,    29,           21,         55091
Apple iPhone 14 (8GB/128GB)          , Mobile  , Apple   , iPhone 14         , 8GB/128GB,      89567,         107480.4,   164,           59,        101206
Apple iPhone SE 3rd Gen (8GB/128GB)  , Mobile  , Apple   , iPhone SE 3rd Gen , 8GB/128GB,      66463,          79755.6,    98,           55,         76473
Motorola Moto G54 5G (8GB/128GB)     , Mobile  , Motorola, Moto G54 5G       , 8GB/128GB,      11711,          14053.2,    69,           56,         14169
Motorola Moto Edge 40 (4GB/64GB)     , Mobile  , Motorola, Moto Edge 40      , 4GB/64GB ,      16715,          20058.0,   227,           81,         19161
Google Pixel 7a (6GB/128GB)          , Mobile  , Google  , Pixel 7a          , 6GB/128GB,      49058,          58869.6,   201,           26,         56686
Google Pixel 6a (6GB/128GB)          , Mobile  , Google  , Pixel 6a          , 6GB/128GB,      26524,          31828.8,   296,           17,         29576
Infinix Infinix Hot 30 5G (4GB/64GB) , Mobile  , Infinix , Infinix Hot 30 5G , 4GB/64GB ,       8240,           9888.0,   104,           42,          9663
Infinix Infinix Zero 5G (4GB/64GB)   , Mobile  , Infinix , Infinix Zero 5G   , 4GB/64GB ,      14970,          17964.0,   229,           44,         17830
Tecno Tecno Camon 20 (8GB/128GB)     , Mobile  , Tecno   , Tecno Camon 20    , 8GB/128GB,      10549,          12658.8,    12,           19,         11190
Tecno Tecno Pova 5 (4GB/64GB)        , Mobile  , Tecno   , Tecno Pova 5      , 4GB/64GB ,      18307,          21968.4,    17,           74,         21770
Lava Lava Agni 2 5G (4GB/64GB)       , Mobile  , Lava    , Lava Agni 2 5G    , 4GB/64GB ,       7341,           8809.2,   264,           95,          8906
Lava Lava Blaze 5G (4GB/64GB)        , Mobile  , Lava    , Lava Blaze 5G     , 4GB/64GB ,      17344,          20812.8,   198,           72,         20212
iQOO iQOO Neo 7 5G (4GB/64GB)        , Mobile  , iQOO    , iQOO Neo 7 5G     , 4GB/64GB ,      37993,          45591.6,   143,           59,         43247
