product_name                       , category         , brand  , model_number, cost_price, competitor_price, stock, demand_score, current_price
Apple APP-NN130 Mobile             , Mobile           , Apple  , APP-NN130   ,      27976,                 ,   224,            1,         32043
Dell DEL-HL539 Laptop              , Laptop           , Dell   , DEL-HL539   ,      91842,                 ,   115,           77,        108202
Lenovo LEN-NR591 Camera            , Camera           , Lenovo , LEN-NR591   ,      70016,                 ,   197,           72,         79918
HP HP-DC526 Laptop                 , Laptop           , HP     , HP-DC526    ,      30530,                 ,   164,           97,         35879
Dell DEL-FQ249 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-FQ249   ,      14545,                 ,   206,           59,         16745
Samsung SAM-CL207 Camera           , Camera           , Samsung, SAM-CL207   ,     108557,                 ,   215,           52,        121109
HP HP-EL751 Bluetooth Speaker      , Bluetooth Speaker, HP     , HP-EL751    ,      19237,                 ,    51,           12,         25807
Sony SON-OV511 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-OV511   ,      12649,                 ,   100,           56,         15984
Dell DEL-XU882 Earbuds             , Earbuds          , Dell   , DEL-XU882   ,       3652,                 ,     1,            2,          4126
Lenovo LEN-CU846 Laptop            , Laptop           , Lenovo , LEN-CU846   ,      25854,                 ,   224,            1,         29307
Xiaomi XIA-WZ880 Laptop            , Laptop           , Xiaomi , XIA-WZ880   ,      71717,                 ,   171,           90,         78420
Dell DEL-UK672 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-UK672   ,       6791,                 ,   246,           68,          8256
Apple APP-JB419 Laptop             , Laptop           , Apple  , APP-JB419   ,      77662,                 ,   122,           17,         99289
HP HP-VW263 Earbuds                , Earbuds          , HP     , HP-VW263    ,       1266,                 ,    68,           98,          1634
Apple APP-ZH639 Earbuds            , Earbuds          , Apple  , APP-ZH639   ,        697,                 ,   239,           16,           815
Dell DEL-YC919 Smartwatch          , Smartwatch       , Dell   , DEL-YC919   ,      28184,                 ,   186,           70,         30867
Samsung SAM-CL736 Earbuds          , Earbuds          , Samsung, SAM-CL736   ,       3011,                 ,   147,           59,          3198
Apple APP-KO270 Smartwatch         , Smartwatch       , Apple  , APP-KO270   ,      17243,                 ,   194,           19,         18190
JBL JBL-RY714 Camera               , Camera           , JBL    , JBL-RY714   ,     148983,                 ,   232,           33,        160730
Dell DEL-QR195 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-QR195   ,      19343,                 ,    81,            1,         22554
LG LG-IS516 Bluetooth Speaker      , Bluetooth Speaker, LG     , LG-IS516    ,       2802,                 ,   216,           50,          3228
Lenovo LEN-TE548 Smart TV          , Smart TV         , Lenovo , LEN-TE548   ,      67254,                 ,    41,           99,         81541
HP HP-FU634 Earbuds                , Earbuds          , HP     , HP-FU634    ,        762,                 ,    89,           60,           950
Xiaomi XIA-NU976 Bluetooth Speaker , Bluetooth Speaker, Xiaomi , XIA-NU976   ,      14168,                 ,    47,           12,         15904
JBL JBL-RQ092 Earbuds              , Earbuds          , JBL    , JBL-RQ092   ,       5048,                 ,   246,            9,          6663
Xiaomi XIA-UD096 Earbuds           , Earbuds          , Xiaomi , XIA-UD096   ,       7900,                 ,    47,           80,          9122
Apple APP-LX573 Camera             , Camera           , Apple  , APP-LX573   ,      81690,                 ,    53,           33,        106760
Xiaomi XIA-DR888 Smart TV          , Smart TV         , Xiaomi , XIA-DR888   ,      32183,                 ,   112,           72,         42007
LG LG-FU645 Camera                 , Camera           , LG     , LG-FU645    ,      20539,                 ,    83,           99,         27102
Apple APP-LU695 Camera             , Camera           , Apple  , APP-LU695   ,     141063,                 ,    98,           25,        152410
Boat BOA-PS585 Camera              , Camera           , Boat   , BOA-PS585   ,      36357,                 ,    53,           35,         44159
Boat BOA-LT827 Laptop              , Laptop           , Boat   , BOA-LT827   ,      86135,                 ,   227,           33,        116139
Lenovo LEN-GL723 Smart TV          , Smart TV         , Lenovo , LEN-GL723   ,      58467,                 ,    20,           48,         65551
Apple APP-DG670 Smartwatch         , Smartwatch       , Apple  , APP-DG670   ,       6987,                 ,   135,            7,          8104
Dell DEL-OK249 Smart TV            , Smart TV         , Dell   , DEL-OK249   ,      64064,                 ,   186,           86,         77694
Samsung SAM-WT303 Smartwatch       , Smartwatch       , Samsung, SAM-WT303   ,      22830,                 ,   157,           38,         25686
LG LG-WY475 Camera                 , Camera           , LG     , LG-WY475    ,      62333,                 ,   181,            8,         72800
Xiaomi XIA-MH436 Smartwatch        , Smartwatch       , Xiaomi , XIA-MH436   ,      22738,                 ,    20,           30,         26838
LG LG-SV995 Camera                 , Camera           , LG     , LG-SV995    ,     112888,                 ,   191,           97,        138070
Canon CAN-OA614 Smart TV           , Smart TV         , Canon  , CAN-OA614   ,      60764,                 ,     3,           35,         72902
HP HP-JF373 Mobile                 , Mobile           , HP     , HP-JF373    ,      14208,                 ,   157,           93,         19157
LG LG-GC059 Camera                 , Camera           , LG     , LG-GC059    ,      97989,                 ,    98,           37,        129782
Xiaomi XIA-QU679 Earbuds           , Earbuds          , Xiaomi , XIA-QU679   ,       2827,                 ,    45,           53,          3248
Samsung SAM-QG419 Laptop           , Laptop           , Samsung, SAM-QG419   ,      91235,                 ,   190,           85,        119144
HP HP-TE671 Smart TV               , Smart TV         , HP     , HP-TE671    ,      26102,                 ,    66,           18,         29509
Sony SON-ZC036 Camera              , Camera           , Sony   , SON-ZC036   ,     118746,                 ,    23,           32,        144991
LG LG-YF582 Smart TV               , Smart TV         , LG     , LG-YF582    ,      24014,                 ,   193,           27,         32347
HP HP-WP197 Bluetooth Speaker      , Bluetooth Speaker, HP     , HP-WP197    ,      11729,                 ,    16,           33,         15402
JBL JBL-LJ538 Earbuds              , Earbuds          , JBL    , JBL-LJ538   ,       4841,                 ,   220,           42,          5605
Boat BOA-CY687 Camera              , Camera           , Boat   , BOA-CY687   ,      44592,                 ,    59,            7,         55002
Sony SON-TZ285 Smart TV            , Smart TV         , Sony   , SON-TZ285   ,      22368,                 ,   237,           16,         23962
Boat BOA-LT288 Smart TV            , Smart TV         , Boat   , BOA-LT288   ,      75766,                 ,    97,           66,         80182
HP HP-WG463 Mobile                 , Mobile           , HP     , HP-WG463    ,      16966,                 ,    50,           25,         21234
Boat BOA-WE273 Mobile              , Mobile           , Boat   , BOA-WE273   ,      28677,                 ,    85,           49,         35193
HP HP-ON124 Smartwatch             , Smartwatch       , HP     , HP-ON124    ,      12907,                 ,    14,           54,         13702
Xiaomi XIA-RQ470 Smartwatch        , Smartwatch       , Xiaomi , XIA-RQ470   ,      18338,                 ,   224,            8,         19953
LG LG-RH545 Laptop                 , Laptop           , LG     , LG-RH545    ,      44508,                 ,   107,            5,         50359
JBL JBL-IS221 Smart TV             , Smart TV         , JBL    , JBL-IS221   ,      74021,                 ,   115,           94,         78869
Dell DEL-DN712 Laptop              , Laptop           , Dell   , DEL-DN712   ,      94678,                 ,   167,           52,        119280
HP HP-SZ521 Smart TV               , Smart TV         , HP     , HP-SZ521    ,      37019,                 ,   146,           17,         46806
HP HP-FE052 Laptop                 , Laptop           , HP     , HP-FE052    ,      98847,                 ,    91,           58,        111820
JBL JBL-HY671 Mobile               , Mobile           , JBL    , JBL-HY671   ,      31945,                 ,   116,           62,         33785
Canon CAN-HM392 Mobile             , Mobile           , Canon  , CAN-HM392   ,       7150,                 ,   244,            1,          9000
Boat BOA-CB456 Camera              , Camera           , Boat   , BOA-CB456   ,      81617,                 ,   238,           34,        108106
Sony SON-VY025 Laptop              , Laptop           , Sony   , SON-VY025   ,      71175,                 ,    47,           89,         86461
Canon CAN-PQ739 Smart TV           , Smart TV         , Canon  , CAN-PQ739   ,      65543,                 ,   128,           16,         87197
Canon CAN-ZH667 Earbuds            , Earbuds          , Canon  , CAN-ZH667   ,       5808,                 ,   190,           69,          7384
Xiaomi XIA-QG025 Camera            , Camera           , Xiaomi , XIA-QG025   ,     128429,                 ,   194,           76,        162977
Samsung SAM-KR402 Laptop           , Laptop           , Samsung, SAM-KR402   ,      92215,                 ,    85,           57,        101214
Boat BOA-BG275 Earbuds             , Earbuds          , Boat   , BOA-BG275   ,       3856,                 ,    68,           47,          4183
Xiaomi XIA-LO698 Camera            , Camera           , Xiaomi , XIA-LO698   ,      93832,                 ,   189,           69,        107289
Samsung SAM-EH752 Mobile           , Mobile           , Samsung, SAM-EH752   ,      35899,                 ,   217,           48,         37878
Boat BOA-RS954 Mobile              , Mobile           , Boat   , BOA-RS954   ,      35222,                 ,   221,           23,         40642
Canon CAN-BL320 Mobile             , Mobile           , Canon  , CAN-BL320   ,      44649,                 ,    68,          100,         55130
Canon CAN-PA785 Bluetooth Speaker  , Bluetooth Speaker, Canon  , CAN-PA785   ,       3849,                 ,   137,           19,          4342
Sony SON-MQ915 Camera              , Camera           , Sony   , SON-MQ915   ,     115793,                 ,   247,           69,        138987
Boat BOA-ZM431 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-ZM431   ,      17364,                 ,    23,           80,         19080
Dell DEL-KM647 Laptop              , Laptop           , Dell   , DEL-KM647   ,      55977,                 ,   127,           32,         59221
Boat BOA-CG178 Mobile              , Mobile           , Boat   , BOA-CG178   ,       6851,                 ,   177,           35,          8376
Samsung SAM-RO413 Camera           , Camera           , Samsung, SAM-RO413   ,     106680,                 ,   178,           43,        126679
Boat BOA-QT259 Camera              , Camera           , Boat   , BOA-QT259   ,     118691,                 ,   160,           40,        138373
Boat BOA-DZ621 Smart TV            , Smart TV         , Boat   , BOA-DZ621   ,      89449,                 ,    28,           13,         99467
Samsung SAM-OC994 Smartwatch       , Smartwatch       , Samsung, SAM-OC994   ,      23491,                 ,   129,           35,         25375
Lenovo LEN-VM752 Mobile            , Mobile           , Lenovo , LEN-VM752   ,      33350,                 ,     7,           93,         35729
Boat BOA-ZG539 Camera              , Camera           , Boat   , BOA-ZG539   ,     129585,                 ,   161,            7,        162562
Sony SON-WH749 Smartwatch          , Smartwatch       , Sony   , SON-WH749   ,       6267,                 ,   113,           75,          7883
HP HP-VH259 Smartwatch             , Smartwatch       , HP     , HP-VH259    ,       3412,                 ,   216,           21,          3622
Sony SON-LM373 Smart TV            , Smart TV         , Sony   , SON-LM373   ,      64425,                 ,   151,           64,         75830
Xiaomi XIA-ZG384 Earbuds           , Earbuds          , Xiaomi , XIA-ZG384   ,       3286,                 ,   239,           36,          4426
Boat BOA-SV368 Earbuds             , Earbuds          , Boat   , BOA-SV368   ,       5573,                 ,    95,           24,          6269
Boat BOA-ZD931 Laptop              , Laptop           , Boat   , BOA-ZD931   ,     113726,                 ,    36,           12,        151167
Boat BOA-CX018 Camera              , Camera           , Boat   , BOA-CX018   ,      86180,                 ,    98,           30,        109618
Apple APP-MZ366 Laptop             , Laptop           , Apple  , APP-MZ366   ,      39397,                 ,   216,           86,         47235
Dell DEL-WW337 Camera              , Camera           , Dell   , DEL-WW337   ,     134180,                 ,   176,          100,        176937
Boat BOA-WA069 Camera              , Camera           , Boat   , BOA-WA069   ,      74163,                 ,   127,           52,         99008
Apple APP-LC684 Laptop             , Laptop           , Apple  , APP-LC684   ,      79098,                 ,   143,           69,         94752
HP HP-XB723 Bluetooth Speaker      , Bluetooth Speaker, HP     , HP-XB723    ,       5491,                 ,   122,           85,          6306
Xiaomi XIA-NO710 Laptop            , Laptop           , Xiaomi , XIA-NO710   ,      85566,                 ,    38,           53,        109900
LG LG-QG914 Camera                 , Camera           , LG     , LG-QG914    ,      36689,                 ,   222,            5,         39156
Boat BOA-GA896 Earbuds             , Earbuds          , Boat   , BOA-GA896   ,       7830,                 ,   234,           75,         10306
Apple APP-LI564 Laptop             , Laptop           , Apple  , APP-LI564   ,      31801,                 ,     8,           74,         42632
Boat BOA-VF342 Earbuds             , Earbuds          , Boat   , BOA-VF342   ,       1453,                 ,   229,            7,          1795
Dell DEL-OZ296 Smartwatch          , Smartwatch       , Dell   , DEL-OZ296   ,      24677,                 ,   169,            9,         31100
Samsung SAM-OR706 Earbuds          , Earbuds          , Samsung, SAM-OR706   ,       3493,                 ,   193,            5,          4602
HP HP-UF821 Smart TV               , Smart TV         , HP     , HP-UF821    ,      74693,                 ,   239,           65,        100536
Lenovo LEN-TT610 Earbuds           , Earbuds          , Lenovo , LEN-TT610   ,       1865,                 ,    70,           89,          2413
Lenovo LEN-BU031 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-BU031   ,       2324,                 ,    69,           31,          2965
Dell DEL-TE159 Earbuds             , Earbuds          , Dell   , DEL-TE159   ,       2310,                 ,   181,           39,          2964
JBL JBL-XV284 Smartwatch           , Smartwatch       , JBL    , JBL-XV284   ,      23570,                 ,    18,           39,         26507
HP HP-TI191 Camera                 , Camera           , HP     , HP-TI191    ,      30485,                 ,   140,           92,         36514
Lenovo LEN-SZ983 Laptop            , Laptop           , Lenovo , LEN-SZ983   ,      28709,                 ,   219,           72,         30629
LG LG-AN466 Camera                 , Camera           , LG     , LG-AN466    ,      57918,                 ,   204,           92,         73776
LG LG-VY120 Smartwatch             , Smartwatch       , LG     , LG-VY120    ,       3504,                 ,   112,           25,          4073
Dell DEL-XF089 Smartwatch          , Smartwatch       , Dell   , DEL-XF089   ,       3823,                 ,   116,            6,          4620
Lenovo LEN-KD934 Earbuds           , Earbuds          , Lenovo , LEN-KD934   ,       2605,                 ,   159,           45,          2744
Xiaomi XIA-XD467 Mobile            , Mobile           , Xiaomi , XIA-XD467   ,      40620,                 ,    79,           85,         46583
LG LG-PS868 Smartwatch             , Smartwatch       , LG     , LG-PS868    ,      14003,                 ,   226,           19,         15013
LG LG-YH624 Smartwatch             , Smartwatch       , LG     , LG-YH624    ,      16843,                 ,    46,           49,         18066
Dell DEL-CR593 Laptop              , Laptop           , Dell   , DEL-CR593   ,      63413,                 ,     0,           54,         72186
HP HP-ED846 Smart TV               , Smart TV         , HP     , HP-ED846    ,      88866,                 ,   184,           75,        117333
Lenovo LEN-PA721 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-PA721   ,      14323,                 ,    15,           72,         19158
Xiaomi XIA-BT228 Smartwatch        , Smartwatch       , Xiaomi , XIA-BT228   ,      27933,                 ,   155,            8,         33148
Sony SON-UP299 Earbuds             , Earbuds          , Sony   , SON-UP299   ,       1645,                 ,    89,            8,          1820
HP HP-UC813 Smartwatch             , Smartwatch       , HP     , HP-UC813    ,      22129,                 ,    27,           92,         24758
Xiaomi XIA-PA214 Camera            , Camera           , Xiaomi , XIA-PA214   ,     142016,                 ,   154,           63,        160191
Apple APP-MU515 Mobile             , Mobile           , Apple  , APP-MU515   ,      44088,                 ,   211,           77,         50386
Samsung SAM-SX636 Smartwatch       , Smartwatch       , Samsung, SAM-SX636   ,       5779,                 ,   140,           46,          6537
Samsung SAM-ZW417 Mobile           , Mobile           , Samsung, SAM-ZW417   ,      11713,                 ,   196,           47,         13762
Apple APP-XI116 Smart TV           , Smart TV         , Apple  , APP-XI116   ,      85545,                 ,   241,            5,        113759
JBL JBL-SJ525 Smartwatch           , Smartwatch       , JBL    , JBL-SJ525   ,       4015,                 ,    64,           18,          4669
Apple APP-UC685 Smart TV           , Smart TV         , Apple  , APP-UC685   ,      28415,                 ,    10,           85,         38234
Xiaomi XIA-LX483 Camera            , Camera           , Xiaomi , XIA-LX483   ,      38833,                 ,    85,           59,         45211
Apple APP-II296 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-II296   ,       7938,                 ,   160,           98,          9690
Apple APP-CC473 Smart TV           , Smart TV         , Apple  , APP-CC473   ,      28702,                 ,   239,           55,         32491
JBL JBL-BY564 Laptop               , Laptop           , JBL    , JBL-BY564   ,      54189,                 ,   196,           95,         68143
Lenovo LEN-YK902 Camera            , Camera           , Lenovo , LEN-YK902   ,      95642,                 ,   228,           53,        116360
Dell DEL-CN148 Earbuds             , Earbuds          , Dell   , DEL-CN148   ,       3224,                 ,    82,           17,          4117
JBL JBL-JT588 Earbuds              , Earbuds          , JBL    , JBL-JT588   ,       7752,                 ,   109,            1,          9187
Canon CAN-PQ098 Camera             , Camera           , Canon  , CAN-PQ098   ,      60106,                 ,     3,           62,         68065
Samsung SAM-ES330 Earbuds          , Earbuds          , Samsung, SAM-ES330   ,       5044,                 ,    31,           34,          6312
Sony SON-OK160 Camera              , Camera           , Sony   , SON-OK160   ,      51187,                 ,    38,           26,         57872
JBL JBL-FK337 Bluetooth Speaker    , Bluetooth Speaker, JBL    , JBL-FK337   ,      17633,                 ,   117,            3,         21267
Canon CAN-PW170 Camera             , Camera           , Canon  , CAN-PW170   ,     109074,                 ,   192,           54,        124598
HP HP-LL642 Mobile                 , Mobile           , HP     , HP-LL642    ,      14427,                 ,   221,           57,         17576
Apple APP-IC655 Smartwatch         , Smartwatch       , Apple  , APP-IC655   ,      25928,                 ,    46,           23,         28266
Samsung SAM-FZ029 Earbuds          , Earbuds          , Samsung, SAM-FZ029   ,       3778,                 ,   141,           66,          4856
Sony SON-TH144 Camera              , Camera           , Sony   , SON-TH144   ,      68682,                 ,   191,           98,         90725
LG LG-NF563 Laptop                 , Laptop           , LG     , LG-NF563    ,      31949,                 ,    81,           30,         39374
Samsung SAM-LL034 Smart TV         , Smart TV         , Samsung, SAM-LL034   ,      45934,                 ,   190,           98,         54259
Lenovo LEN-KC038 Smart TV          , Smart TV         , Lenovo , LEN-KC038   ,      73413,                 ,    78,           30,         87014
Boat BOA-VX082 Smartwatch          , Smartwatch       , Boat   , BOA-VX082   ,       7854,                 ,    80,            5,          9480
LG LG-NK333 Smartwatch             , Smartwatch       , LG     , LG-NK333    ,       7892,                 ,   183,           17,          8634
Apple APP-NC593 Laptop             , Laptop           , Apple  , APP-NC593   ,     112369,                 ,    83,           88,        143908
Lenovo LEN-VG116 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-VG116   ,       5164,                 ,    52,           66,          6940
Lenovo LEN-BY645 Camera            , Camera           , Lenovo , LEN-BY645   ,      84836,                 ,    42,           75,         94400
Boat BOA-RW693 Smartwatch          , Smartwatch       , Boat   , BOA-RW693   ,      21290,                 ,   150,           55,         25786
Dell DEL-DB432 Bluetooth Speaker   , Bluetooth Speaker, Dell   , DEL-DB432   ,      16183,                 ,   117,           16,         17729
Dell DEL-NI408 Mobile              , Mobile           , Dell   , DEL-NI408   ,      30071,                 ,   131,           56,         33198
Lenovo LEN-WW654 Mobile            , Mobile           , Lenovo , LEN-WW654   ,      24271,                 ,    92,           32,         28935
Samsung SAM-LV634 Smartwatch       , Smartwatch       , Samsung, SAM-LV634   ,      13161,                 ,    50,           19,         16195
Samsung SAM-LV890 Laptop           , Laptop           , Samsung, SAM-LV890   ,      82108,                 ,    91,           42,         90374
Sony SON-BS956 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-BS956   ,       4900,                 ,    69,            1,          5191
Dell DEL-XK760 Earbuds             , Earbuds          , Dell   , DEL-XK760   ,       7288,                 ,    89,           46,          8659
Lenovo LEN-II532 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-II532   ,      19977,                 ,   217,           45,         21747
Lenovo LEN-ZP106 Camera            , Camera           , Lenovo , LEN-ZP106   ,      38624,                 ,    46,           86,         41624
HP HP-ZS359 Earbuds                , Earbuds          , HP     , HP-ZS359    ,       2786,                 ,   106,           63,          3352
JBL JBL-JU868 Earbuds              , Earbuds          , JBL    , JBL-JU868   ,       4643,                 ,    25,           36,          4960
Lenovo LEN-XC650 Bluetooth Speaker , Bluetooth Speaker, Lenovo , LEN-XC650   ,      14568,                 ,    98,           52,         15665
Sony SON-YI719 Earbuds             , Earbuds          , Sony   , SON-YI719   ,       3266,                 ,    55,           86,          3955
Apple APP-HU557 Laptop             , Laptop           , Apple  , APP-HU557   ,      33717,                 ,   214,           78,         41656
Samsung SAM-RW651 Smartwatch       , Smartwatch       , Samsung, SAM-RW651   ,      14479,                 ,   153,           14,         18332
Canon CAN-VE446 Laptop             , Laptop           , Canon  , CAN-VE446   ,      40034,                 ,     6,            3,         45067
Boat BOA-PT722 Laptop              , Laptop           , Boat   , BOA-PT722   ,      43030,                 ,   106,           18,         56082
Boat BOA-XF654 Camera              , Camera           , Boat   , BOA-XF654   ,     120977,                 ,   114,           15,        139878
HP HP-UN411 Camera                 , Camera           , HP     , HP-UN411    ,      61271,                 ,   228,           28,         69283
Sony SON-WB439 Smartwatch          , Smartwatch       , Sony   , SON-WB439   ,      28289,                 ,    16,           86,         34489
JBL JBL-WH729 Bluetooth Speaker    , Bluetooth Speaker, JBL    , JBL-WH729   ,      17509,                 ,   144,           13,         19013
LG LG-CX889 Laptop                 , Laptop           , LG     , LG-CX889    ,      31168,                 ,    66,           18,         39076
Samsung SAM-KJ302 Smart TV         , Smart TV         , Samsung, SAM-KJ302   ,      46734,                 ,   213,           34,         57261
Apple APP-VQ712 Earbuds            , Earbuds          , Apple  , APP-VQ712   ,       5218,                 ,   112,           83,          6645
Boat BOA-SD740 Camera              , Camera           , Boat   , BOA-SD740   ,     115776,                 ,   179,           26,        133285
Samsung SAM-GV575 Mobile           , Mobile           , Samsung, SAM-GV575   ,      40529,                 ,    58,           70,         45526
HP HP-GD266 Mobile                 , Mobile           , HP     , HP-GD266    ,       9812,                 ,   180,           22,         13051
Apple APP-VM565 Mobile             , Mobile           , Apple  , APP-VM565   ,      32900,                 ,   246,            4,         36053
Sony SON-HA351 Bluetooth Speaker   , Bluetooth Speaker, Sony   , SON-HA351   ,      12613,                 ,    61,           94,         13949
Apple APP-NJ957 Bluetooth Speaker  , Bluetooth Speaker, Apple  , APP-NJ957   ,      14918,                 ,   136,            3,         15912
JBL JBL-AW033 Smartwatch           , Smartwatch       , JBL    , JBL-AW033   ,      27818,                 ,   228,           36,         29361
Samsung SAM-JB261 Bluetooth Speaker, Bluetooth Speaker, Samsung, SAM-JB261   ,      10111,                 ,    65,           84,         10956
Dell DEL-DJ368 Smartwatch          , Smartwatch       , Dell   , DEL-DJ368   ,      17043,                 ,    78,            6,         22585
Boat BOA-ZM117 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-ZM117   ,       1117,                 ,   247,           51,          1259
Samsung SAM-HB109 Smart TV         , Smart TV         , Samsung, SAM-HB109   ,      73441,                 ,   135,           26,         89379
LG LG-ZO271 Smartwatch             , Smartwatch       , LG     , LG-ZO271    ,      16746,                 ,   132,           70,         21796
Samsung SAM-WI138 Earbuds          , Earbuds          , Samsung, SAM-WI138   ,       6029,                 ,    18,           84,          6915
Boat BOA-XK944 Bluetooth Speaker   , Bluetooth Speaker, Boat   , BOA-XK944   ,      17608,                 ,   139,           47,         22377
JBL JBL-GC449 Camera               , Camera           , JBL    , JBL-GC449   ,      82584,                 ,    63,           38,        101841
JBL JBL-HC324 Laptop               , Laptop           , JBL    , JBL-HC324   ,      26828,                 ,    99,           77,         32242
LG LG-EL479 Bluetooth Speaker      , Bluetooth Speaker, LG     , LG-EL479    ,      19410,                 ,   133,           50,         23838
